Date,Close,High,Low,Open,Volume
2024-11-14,9350.0,9600.0,9350.0,9500.0,15869900
2024-11-15,9175.0,9475.0,9000.0,9350.0,17586400
2024-11-18,9525.0,9525.0,9150.0,9175.0,21637400
2024-11-19,9575.0,9725.0,9525.0,9550.0,19353700
2024-11-20,9675.0,9700.0,9450.0,9575.0,19930600
2024-11-21,9575.0,9775.0,9575.0,9675.0,14602800
2024-11-22,9525.0,9750.0,9525.0,9625.0,14650800
2024-11-25,9100.0,9675.0,9050.0,9525.0,53410500
2024-11-26,9100.0,9375.0,9100.0,9100.0,14723900
2024-11-28,9250.0,9500.0,9125.0,9150.0,14754600
2024-11-29,9000.0,9550.0,8925.0,9425.0,21173800
2024-12-02,9025.0,9150.0,8950.0,9000.0,11090900
2024-12-03,9350.0,9350.0,8975.0,9050.0,15619000
2024-12-04,9575.0,9675.0,9325.0,9375.0,22012400
2024-12-05,9550.0,9625.0,9375.0,9575.0,11927100
2024-12-06,9525.0,9550.0,9400.0,9550.0,10672900
2024-12-09,9325.0,9550.0,9300.0,9550.0,12390000
2024-12-10,9375.0,9475.0,9325.0,9375.0,12767300
2024-12-11,9225.0,9475.0,9150.0,9400.0,12880000
2024-12-12,9300.0,9375.0,9100.0,9225.0,11659200
2024-12-13,9150.0,9375.0,9150.0,9325.0,9846400
2024-12-16,9150.0,9150.0,8875.0,9125.0,11459400
2024-12-17,9000.0,9275.0,8825.0,9150.0,13228000
2024-12-18,8850.0,9100.0,8850.0,9000.0,12361700
2024-12-19,8950.0,8975.0,8675.0,8825.0,9952100
2024-12-20,9000.0,9350.0,8875.0,8950.0,43042700
2024-12-23,9000.0,9250.0,8900.0,9125.0,11003500
2024-12-24,8850.0,9025.0,8825.0,9025.0,8842900
2024-12-27,8275.0,9025.0,8200.0,8850.0,19327000
2024-12-30,8475.0,8475.0,8025.0,8275.0,16925200
2025-01-02,8475.0,8575.0,8375.0,8475.0,8667500
2025-01-03,8500.0,8575.0,8100.0,8500.0,12097000
2025-01-06,8300.0,8500.0,8200.0,8475.0,11979700
2025-01-07,8700.0,8800.0,8300.0,8300.0,15152300
2025-01-08,8300.0,8800.0,8300.0,8750.0,10172100
2025-01-09,8275.0,8475.0,8250.0,8350.0,8624800
2025-01-10,8450.0,8500.0,8300.0,8350.0,14840400
2025-01-13,8500.0,8700.0,8350.0,8475.0,12281300
2025-01-14,8200.0,8500.0,8200.0,8500.0,16637400
2025-01-15,8325.0,8375.0,8025.0,8250.0,17344800
2025-01-16,8200.0,8375.0,8125.0,8375.0,14286900
2025-01-17,8275.0,8275.0,8075.0,8200.0,16710500
2025-01-20,8250.0,8375.0,8225.0,8275.0,12802800
2025-01-21,8150.0,8325.0,8150.0,8300.0,14247700
2025-01-22,8600.0,8650.0,8225.0,8225.0,25885400
2025-01-23,8400.0,8775.0,8400.0,8625.0,20200500
2025-01-24,8450.0,8525.0,8375.0,8450.0,14408900
2025-01-30,7975.0,8450.0,7875.0,8450.0,15943000
2025-01-31,7525.0,8050.0,7500.0,8050.0,16838700
2025-02-03,7075.0,7525.0,6925.0,7525.0,14259900
2025-02-04,6900.0,7225.0,6900.0,7100.0,16221400
2025-02-05,7250.0,7275.0,6925.0,7000.0,23145900
2025-02-06,7125.0,7475.0,7025.0,7300.0,13637600
2025-02-07,6875.0,7125.0,6850.0,7125.0,15778000
2025-02-10,7125.0,7175.0,6775.0,6950.0,19648300
2025-02-11,6775.0,7325.0,6500.0,7175.0,19298800
2025-02-12,7175.0,7175.0,6650.0,6775.0,21919500
2025-02-13,6750.0,7225.0,6725.0,7175.0,14578800
2025-02-14,6825.0,6900.0,6725.0,6850.0,9403600
2025-02-17,7025.0,7100.0,6800.0,6825.0,15472000
2025-02-18,7350.0,7350.0,7000.0,7050.0,20493900
2025-02-19,7025.0,7400.0,7000.0,7400.0,12828300
2025-02-20,7225.0,7225.0,7025.0,7025.0,12617100
2025-02-21,7275.0,7275.0,7000.0,7175.0,13204800
2025-02-24,6900.0,7275.0,6800.0,7275.0,11327600
2025-02-25,6575.0,7050.0,6575.0,6925.0,12744000
2025-02-26,6525.0,6775.0,6400.0,6600.0,12009100
2025-02-27,6900.0,6900.0,6500.0,6550.0,17725800
2025-02-28,6550.0,6900.0,6200.0,6900.0,21482800
2025-03-03,6800.0,6875.0,6450.0,6675.0,15612300
2025-03-04,6000.0,6825.0,5950.0,6800.0,18742600
2025-03-05,6500.0,6500.0,6075.0,6100.0,25542400
2025-03-06,6700.0,6725.0,6400.0,6500.0,22328400
