Date,Close,High,Low,Open,Volume
2024-11-14,2550.0,2600.0,2480.0,2570.0,8998300
2024-11-15,2490.0,2540.0,2440.0,2540.0,7591400
2024-11-18,2460.0,2510.0,2440.0,2490.0,3920000
2024-11-19,2550.0,2620.0,2480.0,2480.0,7658600
2024-11-20,2660.0,2730.0,2580.0,2600.0,15593500
2024-11-21,2660.0,2750.0,2660.0,2670.0,9072500
2024-11-22,2730.0,2760.0,2670.0,2680.0,10611200
2024-11-25,2740.0,2770.0,2680.0,2740.0,9781200
2024-11-26,2640.0,2740.0,2630.0,2740.0,4853500
2024-11-28,2670.0,2710.0,2630.0,2650.0,3752100
2024-11-29,2640.0,2650.0,2580.0,2630.0,4118400
2024-12-02,2500.0,2640.0,2460.0,2640.0,8316200
2024-12-03,2580.0,2600.0,2500.0,2500.0,5666600
2024-12-04,2580.0,2610.0,2550.0,2560.0,4879900
2024-12-05,2550.0,2600.0,2520.0,2590.0,2352900
2024-12-06,2700.0,2750.0,2560.0,2560.0,11499200
2024-12-09,2680.0,2730.0,2660.0,2710.0,2464800
2024-12-10,2690.0,2730.0,2590.0,2680.0,7305400
2024-12-11,2670.0,2690.0,2640.0,2640.0,3823600
2024-12-12,2600.0,2670.0,2570.0,2670.0,4917500
2024-12-13,2630.0,2640.0,2590.0,2610.0,2817600
2024-12-16,2600.0,2650.0,2560.0,2650.0,4341600
2024-12-17,2590.0,2660.0,2520.0,2620.0,3894800
2024-12-18,2590.0,2600.0,2530.0,2590.0,2647200
2024-12-19,2350.0,2550.0,2310.0,2550.0,5595600
2024-12-20,2240.0,2380.0,2220.0,2360.0,5330300
2024-12-23,2400.0,2420.0,2270.0,2270.0,6204100
2024-12-24,2390.0,2440.0,2330.0,2430.0,3024000
2024-12-27,2360.0,2400.0,2330.0,2400.0,1871800
2024-12-30,2430.0,2460.0,2330.0,2370.0,3874800
2025-01-02,2430.0,2490.0,2410.0,2490.0,1689300
2025-01-03,2500.0,2520.0,2380.0,2430.0,4323800
2025-01-06,2550.0,2630.0,2510.0,2510.0,4840200
2025-01-07,2580.0,2580.0,2490.0,2570.0,3191800
2025-01-08,2600.0,2670.0,2560.0,2580.0,5765200
2025-01-09,2540.0,2640.0,2540.0,2600.0,1904600
2025-01-10,2550.0,2610.0,2540.0,2550.0,2977800
2025-01-13,2440.0,2550.0,2420.0,2550.0,2152600
2025-01-14,2440.0,2480.0,2400.0,2440.0,1619800
2025-01-15,2540.0,2550.0,2450.0,2450.0,2938300
