Date,Close,High,Low,Open,Volume
2024-11-14,416.0,442.0,404.0,442.0,2622506400
2024-11-15,400.0,424.0,366.0,410.0,2979981200
2024-11-18,450.0,458.0,404.0,420.0,2367369800
2024-11-19,436.0,470.0,430.0,430.0,1519588800
2024-11-20,434.0,444.0,424.0,434.0,615181900
2024-11-21,446.0,448.0,432.0,438.0,640343600
2024-11-22,442.0,452.0,440.0,446.0,580682700
2024-11-25,422.0,446.0,410.0,442.0,991264900
2024-11-26,410.0,426.0,402.0,418.0,686402500
2024-11-28,396.0,420.0,390.0,410.0,572842500
2024-11-29,414.0,420.0,394.0,396.0,547830200
2024-12-02,398.0,430.0,396.0,414.0,889407600
2024-12-03,398.0,406.0,396.0,400.0,272886100
2024-12-04,416.0,422.0,400.0,400.0,503990100
2024-12-05,412.0,426.0,410.0,416.0,223364500
2024-12-06,408.0,414.0,406.0,412.0,181880400
2024-12-09,418.0,424.0,410.0,416.0,423631500
2024-12-10,444.0,448.0,424.0,424.0,822912400
2024-12-11,432.0,458.0,428.0,454.0,698329700
2024-12-12,438.0,446.0,432.0,436.0,351959900
2024-12-13,416.0,436.0,414.0,434.0,406305900
2024-12-16,398.0,410.0,392.0,410.0,578714000
2024-12-17,380.0,406.0,376.0,400.0,420720300
2024-12-18,376.0,394.0,370.0,380.0,426361100
2024-12-19,352.0,366.0,348.0,366.0,669122500
2024-12-20,352.0,366.0,350.0,354.0,566345300
2024-12-23,348.0,358.0,346.0,358.0,551957400
2024-12-24,346.0,356.0,340.0,350.0,356254300
2024-12-27,332.0,354.0,326.0,346.0,513699600
2024-12-30,346.0,352.0,324.0,332.0,577813300
2025-01-02,402.0,402.0,336.0,346.0,994228700
2025-01-03,432.0,434.0,392.0,408.0,1187492000
2025-01-06,426.0,446.0,426.0,432.0,530782800
2025-01-07,426.0,448.0,424.0,428.0,611519500
2025-01-08,400.0,432.0,398.0,432.0,602562900
2025-01-09,382.0,412.0,376.0,404.0,687950100
2025-01-10,428.0,428.0,386.0,386.0,863560500
2025-01-13,408.0,438.0,406.0,432.0,710139100
2025-01-14,418.0,424.0,394.0,404.0,676299600
2025-01-15,406.0,418.0,404.0,418.0,356230900
2025-01-16,410.0,420.0,406.0,414.0,435480200
2025-01-17,400.0,420.0,396.0,416.0,431425000
2025-01-20,404.0,408.0,396.0,400.0,344988300
2025-01-21,408.0,424.0,404.0,408.0,811257200
2025-01-22,408.0,418.0,408.0,414.0,369612000
2025-01-23,400.0,418.0,400.0,414.0,417608100
2025-01-24,394.0,406.0,394.0,400.0,321878800
2025-01-30,374.0,394.0,358.0,394.0,1195923800
2025-01-31,382.0,394.0,376.0,380.0,382815800
2025-02-03,372.0,378.0,364.0,378.0,327748200
