Date,Close,High,Low,Open,Volume
2024-11-14,885.0,905.0,885.0,900.0,65714200
2024-11-15,855.0,895.0,855.0,885.0,74641800
2024-11-18,845.0,885.0,840.0,855.0,65995100
2024-11-19,850.0,875.0,845.0,850.0,76810600
2024-11-20,840.0,860.0,840.0,850.0,64030800
2024-11-21,800.0,845.0,800.0,845.0,107324500
2024-11-22,800.0,820.0,785.0,800.0,121221100
2024-11-25,870.0,915.0,800.0,800.0,662620000
2024-11-26,895.0,920.0,860.0,890.0,338870600
2024-11-28,890.0,915.0,875.0,900.0,150037600
2024-11-29,855.0,885.0,820.0,880.0,240797900
2024-12-02,810.0,860.0,805.0,855.0,113559200
2024-12-03,865.0,880.0,820.0,820.0,174673000
2024-12-04,925.0,935.0,855.0,870.0,220045500
2024-12-05,930.0,960.0,910.0,930.0,194569600
2024-12-06,955.0,975.0,935.0,940.0,177675200
2024-12-09,935.0,960.0,930.0,955.0,88058800
2024-12-10,935.0,960.0,915.0,935.0,112149500
2024-12-11,910.0,950.0,905.0,935.0,110537600
2024-12-12,900.0,925.0,895.0,910.0,70384800
2024-12-13,890.0,910.0,885.0,905.0,74204200
2024-12-16,880.0,900.0,860.0,890.0,67850500
2024-12-17,885.0,910.0,870.0,880.0,99282200
2024-12-18,875.0,905.0,875.0,890.0,66752300
2024-12-19,830.0,865.0,830.0,865.0,90028300
2024-12-20,820.0,850.0,815.0,835.0,78113200
2024-12-23,870.0,890.0,830.0,830.0,127199600
2024-12-24,895.0,920.0,880.0,880.0,118528000
2024-12-27,910.0,910.0,880.0,895.0,59753600
2024-12-30,920.0,925.0,900.0,920.0,73374100
2025-01-02,940.0,945.0,915.0,925.0,76990400
2025-01-03,935.0,950.0,915.0,940.0,71623400
2025-01-06,980.0,985.0,940.0,945.0,149774200
2025-01-07,995.0,1010.0,970.0,985.0,156671400
2025-01-08,975.0,1020.0,965.0,995.0,134558100
2025-01-09,975.0,1000.0,970.0,980.0,62974300
2025-01-10,985.0,1005.0,980.0,985.0,64670700
2025-01-13,1010.0,1110.0,985.0,985.0,436158500
2025-01-14,970.0,1030.0,970.0,1020.0,159751600
2025-01-15,950.0,995.0,940.0,970.0,100979400
2025-01-16,955.0,985.0,940.0,950.0,87010200
2025-01-17,940.0,965.0,940.0,955.0,92703200
2025-01-20,940.0,965.0,940.0,950.0,66402700
2025-01-21,920.0,950.0,910.0,945.0,90745000
2025-01-22,930.0,945.0,915.0,930.0,85750000
2025-01-23,915.0,945.0,915.0,940.0,57239500
2025-01-24,905.0,925.0,900.0,915.0,43209500
