Date,Close,High,Low,Open,Volume
2024-11-14,1015.0,1035.0,1010.0,1025.0,12319600
2024-11-15,1010.0,1035.0,1005.0,1015.0,10813900
2024-11-18,1005.0,1020.0,1000.0,1010.0,11719400
2024-11-19,1030.0,1040.0,1000.0,1000.0,11181500
2024-11-20,1010.0,1030.0,1010.0,1030.0,7665900
2024-11-21,995.0,1020.0,995.0,1010.0,21717100
2024-11-22,1000.0,1015.0,990.0,995.0,4977900
2024-11-25,1025.0,1055.0,1005.0,1005.0,32640800
2024-11-26,1020.0,1045.0,1020.0,1035.0,13290600
2024-11-28,1020.0,1045.0,1020.0,1025.0,8929100
2024-11-29,1000.0,1025.0,1000.0,1020.0,11730800
2024-12-02,965.0,1010.0,955.0,1005.0,44872100
2024-12-03,990.0,1000.0,965.0,990.0,9778300
2024-12-04,1005.0,1010.0,990.0,990.0,6799500
2024-12-05,995.0,1015.0,995.0,1015.0,7645100
2024-12-06,1000.0,1005.0,995.0,1000.0,2910300
2024-12-09,990.0,1005.0,985.0,1005.0,11851200
2024-12-10,995.0,1000.0,980.0,990.0,16351900
2024-12-11,985.0,1005.0,985.0,1000.0,12597800
2024-12-12,980.0,1000.0,980.0,985.0,12582200
2024-12-13,980.0,990.0,980.0,985.0,8740900
2024-12-16,975.0,990.0,965.0,980.0,8982600
2024-12-17,965.0,985.0,965.0,985.0,13129400
2024-12-18,960.0,970.0,955.0,965.0,12704100
2024-12-19,935.0,965.0,935.0,955.0,16806100
2024-12-20,925.0,945.0,920.0,940.0,24923400
2024-12-23,945.0,955.0,925.0,925.0,6971300
2024-12-24,940.0,950.0,935.0,950.0,3023400
2024-12-27,950.0,955.0,940.0,945.0,2723200
2024-12-30,945.0,955.0,940.0,955.0,6250600
2025-01-02,950.0,960.0,940.0,955.0,11531200
2025-01-03,950.0,960.0,945.0,950.0,5910700
2025-01-06,925.0,955.0,925.0,950.0,17022700
2025-01-07,915.0,930.0,915.0,930.0,12857200
2025-01-08,910.0,925.0,910.0,920.0,12252200
2025-01-09,910.0,920.0,910.0,910.0,4060600
2025-01-10,915.0,925.0,915.0,920.0,4849700
2025-01-13,900.0,930.0,900.0,915.0,18910200
2025-01-14,895.0,925.0,895.0,905.0,16739500
2025-01-15,940.0,940.0,895.0,900.0,15226600
2025-01-16,935.0,955.0,925.0,945.0,14349200
2025-01-17,935.0,940.0,925.0,940.0,3672000
2025-01-20,940.0,940.0,930.0,930.0,3078400
2025-01-21,935.0,950.0,935.0,940.0,5643500
2025-01-22,935.0,945.0,935.0,940.0,7566400
2025-01-23,945.0,950.0,935.0,935.0,6185100
2025-01-24,950.0,960.0,930.0,945.0,18308200
2025-01-30,955.0,975.0,950.0,950.0,8145500
2025-01-31,950.0,960.0,950.0,955.0,9573300
2025-02-03,940.0,950.0,935.0,950.0,8399800
2025-02-04,950.0,955.0,940.0,945.0,4067500
2025-02-05,935.0,950.0,925.0,950.0,25845900
2025-02-06,910.0,940.0,910.0,940.0,29745600
2025-02-07,920.0,925.0,895.0,910.0,14805400
2025-02-10,895.0,920.0,895.0,920.0,9253200
2025-02-11,875.0,895.0,870.0,895.0,17025400
2025-02-12,875.0,885.0,870.0,875.0,14618900
2025-02-13,915.0,925.0,855.0,875.0,27854100
2025-02-14,910.0,925.0,905.0,925.0,8038900
2025-02-17,925.0,930.0,910.0,915.0,12684100
2025-02-18,930.0,940.0,920.0,925.0,9215000
2025-02-19,915.0,925.0,905.0,925.0,11888900
2025-02-20,900.0,915.0,895.0,915.0,12872700
2025-02-21,900.0,910.0,895.0,895.0,5712100
2025-02-24,900.0,905.0,890.0,900.0,9030800
2025-02-25,885.0,900.0,880.0,900.0,14181800
2025-02-26,875.0,885.0,875.0,880.0,12770700
2025-02-27,850.0,885.0,850.0,875.0,14736000
2025-02-28,830.0,850.0,820.0,850.0,22515100
2025-03-03,855.0,860.0,830.0,830.0,5691800
2025-03-04,840.0,855.0,835.0,855.0,6767100
2025-03-05,845.0,865.0,840.0,840.0,8801100
2025-03-06,850.0,870.0,850.0,850.0,7038900
2025-03-07,855.0,870.0,850.0,855.0,5504400
2025-03-10,855.0,865.0,845.0,860.0,5954600
2025-03-11,835.0,845.0,825.0,845.0,13577700
2025-03-12,820.0,845.0,820.0,835.0,25512900
2025-03-13,820.0,830.0,820.0,820.0,10401100
2025-03-14,830.0,830.0,815.0,825.0,3980600
2025-03-17,830.0,840.0,825.0,830.0,5917100
2025-03-18,810.0,835.0,785.0,835.0,23558400
2025-03-19,820.0,825.0,800.0,810.0,7217000
2025-03-20,805.0,825.0,805.0,820.0,6240600
2025-03-21,775.0,810.0,775.0,805.0,20085600
2025-03-24,775.0,785.0,755.0,775.0,10113800
2025-03-25,800.0,815.0,775.0,775.0,10437200
2025-03-26,815.0,830.0,805.0,810.0,17744900
2025-03-27,805.0,815.0,795.0,800.0,14418100
2025-04-08,725.0,770.0,700.0,745.0,15912500
2025-04-09,730.0,745.0,720.0,725.0,8176000
2025-04-10,755.0,790.0,755.0,760.0,26990700
2025-04-11,740.0,760.0,735.0,750.0,14999300
2025-04-14,785.0,800.0,745.0,745.0,13716200
2025-04-15,810.0,815.0,790.0,795.0,14420300
2025-04-16,795.0,825.0,790.0,820.0,7649600
2025-04-17,810.0,820.0,790.0,800.0,6044800
2025-04-21,805.0,815.0,800.0,810.0,5193000
2025-04-22,825.0,830.0,805.0,805.0,7353000
2025-04-23,830.0,845.0,825.0,835.0,6609200
2025-04-24,835.0,845.0,830.0,830.0,7509800
2025-04-25,865.0,870.0,835.0,835.0,13606000
2025-04-28,855.0,875.0,850.0,870.0,8417700
2025-04-29,865.0,865.0,850.0,860.0,6579600
2025-04-30,865.0,880.0,850.0,865.0,12031700
2025-05-02,870.0,890.0,865.0,865.0,8138400
2025-05-05,875.0,880.0,865.0,880.0,9832100
2025-05-06,885.0,890.0,870.0,880.0,8550500
2025-05-07,850.0,905.0,845.0,885.0,50915400
2025-05-08,790.0,850.0,785.0,840.0,62002700
2025-05-09,790.0,810.0,790.0,795.0,30515100
2025-05-14,840.0,850.0,810.0,810.0,41039600
2025-05-15,860.0,865.0,840.0,845.0,27587100
2025-05-16,860.0,870.0,845.0,865.0,15894000
2025-05-19,870.0,880.0,860.0,860.0,18564900
2025-05-20,875.0,900.0,875.0,880.0,31077600
2025-05-21,920.0,925.0,875.0,875.0,51749000
2025-05-22,915.0,925.0,900.0,920.0,37178400
2025-05-23,900.0,925.0,890.0,910.0,35130500
2025-05-26,895.0,900.0,865.0,895.0,31359800
2025-05-27,890.0,895.0,875.0,895.0,26281800
2025-05-28,890.0,900.0,875.0,890.0,18864800
2025-06-02,890.0,900.0,865.0,895.0,32254000
2025-06-03,890.0,895.0,870.0,890.0,14328800
2025-06-04,895.0,900.0,875.0,890.0,22728300
2025-06-05,895.0,900.0,875.0,895.0,22917100
2025-06-10,905.0,915.0,885.0,895.0,9232700
2025-06-11,905.0,910.0,890.0,910.0,22622200
2025-06-12,905.0,910.0,890.0,910.0,21398900
2025-06-13,895.0,900.0,890.0,895.0,18135400
2025-06-16,870.0,890.0,870.0,890.0,8350900
2025-06-17,885.0,890.0,860.0,865.0,8512200
2025-06-18,880.0,885.0,870.0,885.0,6572200
2025-06-19,850.0,875.0,850.0,875.0,17529800
2025-06-20,825.0,855.0,810.0,850.0,83230800
2025-06-23,800.0,810.0,790.0,810.0,20740800
2025-06-24,810.0,830.0,805.0,810.0,25506300
2025-06-25,790.0,815.0,790.0,810.0,21823400
2025-06-26,780.0,800.0,780.0,790.0,17601700
2025-06-30,785.0,795.0,780.0,785.0,7417800
2025-07-01,785.0,795.0,780.0,790.0,8012900
2025-07-02,795.0,795.0,780.0,790.0,7418400
2025-07-03,795.0,805.0,785.0,790.0,7866600
2025-07-04,795.0,805.0,785.0,800.0,6080700
2025-07-07,795.0,800.0,785.0,795.0,5445300
2025-07-08,780.0,800.0,780.0,800.0,7293000
2025-07-09,790.0,795.0,770.0,780.0,6471900
2025-07-10,800.0,810.0,785.0,790.0,9209600
2025-07-11,800.0,810.0,795.0,805.0,5175000
2025-07-14,790.0,805.0,785.0,805.0,12692500
2025-07-15,830.0,830.0,785.0,790.0,18160600
2025-07-16,830.0,845.0,820.0,830.0,29591600
2025-07-17,810.0,830.0,805.0,830.0,11293500
2025-07-18,800.0,825.0,800.0,815.0,13683200
2025-07-21,800.0,805.0,795.0,805.0,6910400
2025-07-22,800.0,820.0,800.0,805.0,14187800
2025-07-23,825.0,830.0,795.0,800.0,16711700
2025-07-24,805.0,830.0,805.0,830.0,8064900
2025-07-25,835.0,835.0,810.0,815.0,21778000
2025-07-28,855.0,865.0,840.0,850.0,28910800
2025-07-29,840.0,860.0,835.0,860.0,13148400
2025-07-30,830.0,850.0,820.0,840.0,21194100
2025-07-31,790.0,830.0,785.0,830.0,32238500
2025-08-01,795.0,805.0,790.0,790.0,18336500
2025-08-04,795.0,805.0,790.0,800.0,9127400
2025-08-05,825.0,825.0,795.0,800.0,36510700
2025-08-06,815.0,835.0,815.0,830.0,10974800
2025-08-07,815.0,825.0,815.0,815.0,6138100
2025-08-08,835.0,840.0,810.0,815.0,17348200
2025-08-11,880.0,890.0,835.0,840.0,46268700
2025-08-12,880.0,890.0,870.0,885.0,23291500
2025-08-13,895.0,920.0,870.0,880.0,41255200
2025-08-14,900.0,915.0,890.0,910.0,24339800
2025-08-15,890.0,900.0,885.0,900.0,14788100
2025-08-19,915.0,925.0,890.0,890.0,34081800
2025-08-20,990.0,995.0,920.0,925.0,77620300
2025-08-21,950.0,1000.0,940.0,995.0,40744600
2025-08-22,940.0,960.0,935.0,950.0,17622500
2025-08-25,960.0,985.0,960.0,980.0,19560500
2025-08-26,995.0,1015.0,970.0,970.0,77990700
2025-08-27,1100.0,1150.0,985.0,1015.0,157959300
2025-08-28,1170.0,1200.0,1105.0,1105.0,125141400
2025-08-29,1085.0,1160.0,1055.0,1160.0,93365400
2025-09-01,1045.0,1060.0,975.0,1020.0,77418600
2025-09-02,1170.0,1190.0,1050.0,1050.0,98920200
2025-09-03,1145.0,1200.0,1135.0,1180.0,37595800
2025-09-04,1120.0,1155.0,1105.0,1150.0,22857900
2025-09-08,1100.0,1165.0,1080.0,1120.0,36525800
2025-09-09,1085.0,1130.0,1060.0,1080.0,33322800
2025-09-10,1070.0,1110.0,1070.0,1090.0,16722900
2025-09-11,1100.0,1125.0,1070.0,1070.0,23221000
2025-09-12,1095.0,1115.0,1090.0,1110.0,15515500
2025-09-15,1130.0,1140.0,1100.0,1100.0,25928600
2025-09-16,1115.0,1140.0,1100.0,1140.0,22679500
2025-09-17,1115.0,1130.0,1055.0,1110.0,75745600
2025-09-18,1060.0,1120.0,1060.0,1115.0,32628600
2025-09-19,1020.0,1060.0,1000.0,1045.0,49956800
2025-09-22,1000.0,1040.0,995.0,1025.0,28055600
2025-09-23,1040.0,1045.0,1005.0,1005.0,16421300
2025-09-24,1005.0,1050.0,995.0,1040.0,43654400
2025-09-25,1085.0,1110.0,1005.0,1010.0,76828000
2025-09-26,1040.0,1085.0,1020.0,1085.0,27382900
2025-09-29,1075.0,1085.0,1045.0,1045.0,19557100
2025-09-30,1060.0,1095.0,1055.0,1075.0,14522600
2025-10-01,1030.0,1060.0,1020.0,1050.0,22114800
2025-10-02,1035.0,1075.0,1030.0,1050.0,16986600
2025-10-03,1045.0,1060.0,1020.0,1035.0,22005800
2025-10-06,1025.0,1055.0,1005.0,1045.0,17497700
2025-10-07,1020.0,1040.0,1000.0,1030.0,16497200
2025-10-08,1010.0,1035.0,1000.0,1025.0,24603800
2025-10-09,1005.0,1030.0,1000.0,1010.0,26075200
2025-10-10,1050.0,1055.0,1005.0,1005.0,33190700
2025-10-13,1020.0,1045.0,1010.0,1020.0,21417700
2025-10-14,1000.0,1050.0,1000.0,1020.0,30630200
2025-10-15,950.0,1025.0,935.0,1005.0,68318100
2025-10-16,950.0,965.0,945.0,950.0,30741100
2025-10-17,920.0,960.0,915.0,950.0,32631800
2025-10-20,965.0,970.0,920.0,920.0,21928300
2025-10-21,985.0,990.0,950.0,985.0,22742100
2025-10-22,970.0,1010.0,965.0,985.0,32726800
2025-10-23,970.0,985.0,965.0,970.0,7919200
2025-10-24,955.0,985.0,950.0,980.0,15734000
2025-10-27,960.0,975.0,945.0,955.0,14974900
2025-10-28,950.0,970.0,945.0,970.0,9858800
2025-10-29,975.0,985.0,950.0,965.0,14125300
2025-10-30,950.0,990.0,950.0,985.0,24435500
2025-10-31,980.0,980.0,930.0,950.0,33447100
2025-11-03,960.0,980.0,955.0,980.0,8401600
2025-11-04,955.0,970.0,955.0,965.0,10389500
2025-11-05,955.0,960.0,945.0,955.0,8333200
2025-11-06,955.0,965.0,950.0,955.0,7056600
2025-11-07,975.0,985.0,955.0,955.0,11251300
2025-11-10,975.0,985.0,970.0,975.0,19216800
2025-11-11,975.0,990.0,965.0,980.0,8294500
2025-11-12,960.0,990.0,960.0,980.0,9141900
