Date,Close,High,Low,Open,Volume
2024-11-14,272.0,290.0,264.0,288.0,261975900
2024-11-15,254.0,276.0,248.0,272.0,173439800
2024-11-18,262.0,268.0,252.0,258.0,115733800
2024-11-19,254.0,278.0,254.0,278.0,118740600
2024-11-20,260.0,264.0,254.0,256.0,66298900
2024-11-21,260.0,270.0,256.0,264.0,129470200
2024-11-22,262.0,270.0,260.0,262.0,99461800
2024-11-25,262.0,268.0,260.0,264.0,93933700
2024-11-26,258.0,264.0,254.0,262.0,76934700
2024-11-28,242.0,260.0,236.0,260.0,101108500
2024-11-29,242.0,252.0,238.0,250.0,81057600
2024-12-02,236.0,250.0,236.0,240.0,65854400
2024-12-03,234.0,242.0,228.0,236.0,61607100
2024-12-04,242.0,248.0,234.0,234.0,60521300
2024-12-05,240.0,246.0,238.0,242.0,27585000
2024-12-06,240.0,248.0,238.0,240.0,75699100
2024-12-09,244.0,248.0,238.0,240.0,43949400
2024-12-10,248.0,252.0,242.0,244.0,117495200
2024-12-11,252.0,258.0,246.0,250.0,123560400
2024-12-12,252.0,258.0,250.0,256.0,33115000
2024-12-13,244.0,254.0,242.0,252.0,22122100
2024-12-16,240.0,248.0,236.0,246.0,29422000
2024-12-17,236.0,244.0,234.0,240.0,54501800
2024-12-18,238.0,240.0,234.0,238.0,31527700
2024-12-19,224.0,238.0,224.0,238.0,40681700
2024-12-20,226.0,232.0,224.0,224.0,14894000
2024-12-23,222.0,232.0,218.0,228.0,15430600
2024-12-24,212.0,224.0,210.0,222.0,50846600
2024-12-27,216.0,226.0,212.0,212.0,42517700
2024-12-30,230.0,230.0,216.0,218.0,29925500
2025-01-02,242.0,246.0,228.0,232.0,50039900
2025-01-03,242.0,250.0,240.0,248.0,54222000
2025-01-06,244.0,256.0,242.0,242.0,61494800
2025-01-07,238.0,252.0,238.0,246.0,30309800
2025-01-08,234.0,244.0,234.0,240.0,22196000
2025-01-09,232.0,238.0,228.0,238.0,17529400
2025-01-10,242.0,248.0,230.0,232.0,52228700
2025-01-13,248.0,266.0,244.0,260.0,212983200
2025-01-14,250.0,256.0,246.0,250.0,85214000
2025-01-15,250.0,254.0,248.0,250.0,21591200
2025-01-16,250.0,260.0,250.0,252.0,79645800
2025-01-17,246.0,252.0,244.0,252.0,39215500
2025-01-20,248.0,250.0,240.0,248.0,39208600
2025-01-21,234.0,250.0,232.0,248.0,78323300
2025-01-22,228.0,236.0,226.0,232.0,45299900
2025-01-23,222.0,234.0,222.0,228.0,45959800
2025-01-24,218.0,226.0,216.0,224.0,26291000
2025-01-30,210.0,220.0,206.0,218.0,48946300
2025-01-31,218.0,222.0,210.0,210.0,40491300
2025-02-03,208.0,222.0,202.0,220.0,50124300
2025-02-04,206.0,216.0,202.0,208.0,61120200
2025-02-05,204.0,210.0,204.0,208.0,30768800
2025-02-06,197.0,206.0,197.0,206.0,62423600
2025-02-07,200.0,202.0,190.0,197.0,56692300
2025-02-10,196.0,204.0,192.0,204.0,39603500
2025-02-11,196.0,202.0,193.0,198.0,22303400
2025-02-12,195.0,197.0,189.0,195.0,29353700
2025-02-13,195.0,197.0,192.0,193.0,12616800
2025-02-14,199.0,202.0,195.0,195.0,20866000
2025-02-17,204.0,208.0,200.0,200.0,31410500
2025-02-18,206.0,210.0,202.0,204.0,29100200
2025-02-19,206.0,212.0,204.0,210.0,26826000
2025-02-20,214.0,214.0,206.0,206.0,59524900
2025-02-21,210.0,218.0,210.0,216.0,23793000
2025-02-24,202.0,210.0,202.0,208.0,16011500
2025-02-25,195.0,204.0,193.0,202.0,34061800
2025-02-26,190.0,197.0,187.0,194.0,43013200
2025-02-27,189.0,193.0,187.0,190.0,12552500
2025-02-28,180.0,189.0,177.0,189.0,28025900
2025-03-03,183.0,185.0,180.0,180.0,20544600
2025-03-04,170.0,184.0,169.0,184.0,34740500
2025-03-05,171.0,174.0,169.0,170.0,26339100
2025-03-06,176.0,178.0,172.0,172.0,32871000
2025-03-07,175.0,178.0,174.0,177.0,11641700
2025-03-10,176.0,185.0,174.0,176.0,39020900
2025-03-11,177.0,177.0,171.0,177.0,32816800
2025-03-12,177.0,181.0,175.0,177.0,28464600
2025-03-13,173.0,179.0,172.0,178.0,15903800
2025-03-14,170.0,176.0,167.0,173.0,24318000
2025-03-17,169.0,172.0,163.0,172.0,29897500
