Date,Close,High,Low,Open,Volume
2024-11-14,65.0,68.0,65.0,68.0,2681785300
2024-11-15,64.0,66.0,62.0,65.0,2473614200
2024-11-18,68.0,69.0,63.0,64.0,3951518500
2024-11-19,74.0,75.0,68.0,69.0,7367676100
2024-11-20,72.0,74.0,71.0,74.0,4336619600
2024-11-21,72.0,74.0,71.0,71.0,3043522600
2024-11-22,78.0,79.0,74.0,74.0,9288446300
2024-11-25,76.0,78.0,74.0,78.0,10068829100
2024-11-26,74.0,77.0,74.0,77.0,3858695500
2024-11-28,72.0,76.0,71.0,75.0,5724835500
2024-11-29,71.0,73.0,68.0,72.0,7015945300
2024-12-02,70.0,71.0,68.0,70.0,3384985600
2024-12-03,75.0,77.0,71.0,71.0,5210483900
2024-12-04,75.0,78.0,75.0,75.0,3628567400
2024-12-05,75.0,76.0,74.0,75.0,1739195300
2024-12-06,77.0,78.0,75.0,75.0,2802568300
2024-12-09,78.0,81.0,77.0,77.0,9579731800
2024-12-10,80.0,80.0,78.0,80.0,3660168500
2024-12-11,78.0,80.0,76.0,80.0,8201886200
2024-12-12,77.0,79.0,76.0,78.0,2409227600
2024-12-13,76.0,77.0,75.0,77.0,2382654100
2024-12-16,72.0,77.0,71.0,76.0,7281091500
2024-12-17,70.0,73.0,69.0,72.0,5149706600
2024-12-18,70.0,72.0,69.0,70.0,1909298200
2024-12-19,68.0,70.0,67.0,69.0,3854282200
2024-12-20,69.0,71.0,68.0,69.0,2981674400
2024-12-23,71.0,72.0,69.0,70.0,3155772300
2024-12-24,68.0,72.0,68.0,72.0,1467603700
2024-12-27,63.0,69.0,62.0,69.0,5994574800
2024-12-30,70.0,70.0,63.0,63.0,6484986000
2025-01-02,71.0,72.0,67.0,68.0,3843585700
2025-01-03,78.0,78.0,70.0,71.0,6984717600
2025-01-06,80.0,84.0,77.0,77.0,8687120000
2025-01-07,80.0,82.0,78.0,81.0,4000212600
2025-01-08,80.0,82.0,78.0,80.0,3167409900
2025-01-09,80.0,81.0,78.0,81.0,3028169300
2025-01-10,81.0,83.0,78.0,80.0,4224089600
2025-01-13,79.0,81.0,79.0,80.0,2078651200
2025-01-14,80.0,81.0,79.0,79.0,2006622900
2025-01-15,80.0,82.0,79.0,80.0,2108100100
2025-01-16,80.0,82.0,80.0,81.0,1564795000
2025-01-17,84.0,85.0,80.0,80.0,5769234700
2025-01-20,86.0,89.0,85.0,85.0,5671240400
2025-01-21,84.0,88.0,82.0,86.0,5075992000
2025-01-22,84.0,85.0,82.0,83.0,3464820500
2025-01-23,86.0,87.0,84.0,84.0,2653410400
2025-01-24,83.0,87.0,83.0,86.0,2101549200
2025-01-30,80.0,83.0,78.0,82.0,4552402800
2025-01-31,81.0,83.0,80.0,81.0,2575817200
2025-02-03,81.0,81.0,78.0,80.0,2865844900
2025-02-04,87.0,89.0,81.0,81.0,11625310100
2025-02-05,85.0,87.0,81.0,85.0,13168298900
2025-02-06,83.0,85.0,81.0,85.0,4886877200
2025-02-07,83.0,84.0,81.0,82.0,3650957400
2025-02-10,82.0,83.0,81.0,83.0,3620780200
2025-02-11,81.0,84.0,81.0,83.0,2221938900
2025-02-12,83.0,83.0,81.0,81.0,1670297200
2025-02-13,81.0,84.0,81.0,83.0,2364592900
2025-02-14,81.0,82.0,80.0,82.0,1533596400
2025-02-17,82.0,83.0,80.0,82.0,1685080300
2025-02-18,79.0,82.0,79.0,82.0,3687312400
2025-02-19,80.0,80.0,78.0,79.0,2682124600
2025-02-20,80.0,80.0,78.0,80.0,2207569800
2025-02-21,80.0,82.0,78.0,79.0,3030158100
2025-02-24,79.0,81.0,79.0,80.0,1005073500
2025-02-25,78.0,81.0,76.0,80.0,3491481000
2025-02-26,77.0,79.0,74.0,79.0,2716005900
2025-02-27,76.0,78.0,72.0,77.0,4641603500
2025-02-28,75.0,75.0,72.0,74.0,4358754600
2025-03-03,80.0,80.0,75.0,75.0,3802566200
2025-03-04,77.0,80.0,76.0,79.0,2989084100
2025-03-05,82.0,82.0,77.0,77.0,3316313300
2025-03-06,82.0,83.0,80.0,82.0,2348761400
2025-03-07,86.0,86.0,80.0,82.0,9974932800
2025-03-10,85.0,87.0,83.0,85.0,3777386900
2025-03-11,80.0,83.0,80.0,83.0,4452211100
2025-03-12,83.0,83.0,79.0,80.0,3425290800
2025-03-13,81.0,85.0,81.0,84.0,3933883400
2025-03-14,80.0,81.0,78.0,81.0,2546497300
2025-03-17,79.0,81.0,78.0,80.0,1845752600
2025-03-18,83.0,84.0,76.0,80.0,5453812000
2025-03-19,82.0,84.0,81.0,84.0,1481073200
