Date,Close,High,Low,Open,Volume
2024-11-14,23155.041015625,23243.082996673005,23066.999034576995,23177.051510887002,2185100
2024-11-15,23331.126953125,23375.14794737618,23155.042976120283,23155.042976120283,2175500
2024-11-18,23639.2734375,23749.325920914805,23331.126483938548,23331.126483938548,3255700
2024-11-19,23595.251953125,23683.29393802472,23353.13649465077,23639.27294557486,1827600
2024-11-20,23507.208984375,23573.240470286168,23419.167003160113,23507.208984375,1193000
2024-11-21,24101.494140625,24563.71457619863,23507.210723458902,23507.210723458902,5154500
2024-11-22,24607.736328125,24651.757323345257,24145.515878312275,24145.515878312275,4856600
2024-11-25,24299.5859375,24607.732860620472,24057.470497905342,24607.732860620472,2875200
2024-11-26,24145.513671875,24519.692097054467,24123.50317627621,24321.597636665338,1507600
2024-11-28,24035.4609375,24211.54490041209,23947.41895604396,24167.523909684067,929700
2024-11-29,23463.1875,24035.460365853658,23441.177005159472,24035.460365853658,2146000
2024-12-02,23683.29296875,24079.481884584107,23463.18801550883,23463.18801550883,1315000
2024-12-03,23859.37890625,23969.431391979935,23683.2949290821,23683.2949290821,1664700
2024-12-04,24211.544921875,24365.61838955966,23947.418977272726,23947.418977272726,1310900
2024-12-05,24167.525390625,24299.58837090164,23881.38893335895,24211.546384050547,882600
2024-12-06,24387.630859375,24497.683345202506,24101.49439622349,24167.525887719992,1861800
2024-12-09,24519.69140625,24563.71239620736,24211.544476548475,24387.628436377916,1043800
2024-12-10,24541.703125,24563.713621076233,24387.629652466367,24519.692628923764,1045200
2024-12-11,24827.837890625,25224.026793134974,24541.701461034463,24541.701461034463,4022500
2024-12-12,24673.765625,24981.91256411686,24475.67116413916,24827.83909455843,1132700
2024-12-13,24519.69140625,24827.838335951525,24409.6389313566,24673.764871100764,687700
2024-12-16,24431.650390625,24497.68187816723,24079.482457066442,24475.671382319822,908800
2024-12-17,23991.439453125,24431.649351347478,23815.35549383601,24431.649351347478,1186600
2024-12-18,23903.3984375,24189.534882884436,23683.29347951197,23991.44042069521,667200
2024-12-19,23177.052734375,23837.367627092237,23177.052734375,23837.367627092237,1383000
2024-12-20,22472.71484375,23419.16610553379,22450.70434928991,23177.05066647282,1888500
2024-12-23,22582.76953125,22692.822014345762,22274.62257858187,22560.75903463085,1456000
2024-12-24,22274.623046875,22538.749011857708,22274.623046875,22538.749011857708,981100
2024-12-27,22758.853515625,22846.89550214579,22362.66457628143,22362.66457628143,571200
2024-12-30,23507.208984375,23507.208984375,22538.747191011236,22758.852144048455,1317600
2025-01-02,23044.990234375,23529.221165756328,23044.990234375,23353.13719070857,894700
2025-01-03,23155.041015625,23331.124977721007,22934.936063004992,23044.988539314996,453800
2025-01-06,22714.83203125,23199.062946644863,22714.83203125,23155.04195433624,981400
2025-01-07,22714.83203125,22846.89500817587,22516.737565861193,22714.83203125,526200
2025-01-08,22340.654296875,22736.84324007081,22340.654296875,22714.8327432266,836400
2025-01-09,22274.623046875,22450.707023530136,22252.612549793106,22384.675532284462,594700
2025-01-10,22252.611328125,22406.684799239614,22120.548352883903,22274.621823998517,798900
2025-01-13,22208.58984375,22428.694797602824,21988.484889897176,22340.652816061694,1550600
2025-01-14,22362.6640625,22736.842496616635,22274.62207800197,22626.790015994095,735000
2025-01-15,22670.810546875,22670.810546875,22362.663607402912,22362.663607402912,532800
2025-01-16,22890.916015625,23044.989488807092,22670.811053936297,22780.86353478065,676500
2025-01-17,22978.95703125,23022.97802173132,22824.88356456537,22890.915050287356,538900
2025-01-20,22802.875,23221.074444980695,22714.83301158301,23022.97997104247,611500
2025-01-21,23000.966796875,23155.04025867225,22846.89333507775,22912.924818705145,689600
2025-01-22,23265.09375,23397.156723036896,23000.967803926207,23022.978299432358,1068000
2025-01-23,23243.083984375,23441.178450150925,23177.052495783028,23265.094480572327,826200
2025-01-24,23177.052734375,23331.126209342354,23155.042237951093,23243.084223646725,426400
2025-01-30,22802.875,23155.042953667955,22714.83301158301,23155.042953667955,683300
2025-01-31,22780.86328125,22802.87377717391,22494.72683423913,22802.87377717391,683500
2025-02-03,22956.947265625,22956.947265625,22604.779330581856,22780.863298103428,709200
2025-02-04,22780.86328125,23022.978736413042,22736.84228940217,22956.947248641303,376800
2025-02-05,22934.935546875,23331.124452675147,22758.851588741603,23331.124452675147,583900
2025-02-06,22406.685546875,22934.937465465373,22274.622567227405,22934.937465465373,925900
2025-02-07,22604.779296875,22868.90524776351,22076.52739509798,22428.69532961599,691800
2025-02-10,22186.580078125,22736.842480856278,22186.580078125,22736.842480856278,417400
2025-02-11,22076.52734375,22296.632302311813,22054.516847893818,22186.57982303091,660800
2025-02-12,22318.642578125,22626.78951707347,22032.506134815703,22626.78951707347,619300
2025-02-13,22384.673828125,22384.673828125,22098.53738784415,22318.642341906343,344100
2025-02-14,22538.748046875,22538.748046875,22340.653581619263,22340.653581619263,453200
2025-02-17,22648.80078125,22648.80078125,22340.653831845237,22538.748299319726,533100
2025-02-18,22692.8203125,22868.90427224782,22604.77833262609,22648.799322563045,352400
2025-02-19,22626.7890625,22868.90450966683,22516.73658651508,22692.820548090953,728200
