Date,Close,High,Low,Open,Volume
2024-11-14,2180.0,2260.0,2180.0,2240.0,25957500
2024-11-15,2100.0,2200.0,2100.0,2190.0,21703100
2024-11-18,2010.0,2110.0,1995.0,2090.0,42430800
2024-11-19,2080.0,2090.0,2010.0,2010.0,24380000
2024-11-20,2150.0,2160.0,2070.0,2100.0,32909800
2024-11-21,2100.0,2160.0,2090.0,2160.0,16543400
2024-11-22,2050.0,2100.0,2030.0,2070.0,32153800
2024-11-25,2030.0,2110.0,2030.0,2060.0,62629600
2024-11-26,2000.0,2030.0,1995.0,2030.0,28688500
2024-11-28,1930.0,2020.0,1830.0,2020.0,132976100
2024-11-29,1840.0,1935.0,1830.0,1930.0,67876100
2024-12-02,1840.0,1915.0,1815.0,1840.0,38479700
2024-12-03,1860.0,1875.0,1840.0,1850.0,22197200
2024-12-04,1930.0,1940.0,1850.0,1865.0,37877700
2024-12-05,1920.0,1945.0,1905.0,1945.0,14573800
2024-12-06,1910.0,1935.0,1900.0,1930.0,14853400
2024-12-09,1920.0,1960.0,1910.0,1910.0,22814000
2024-12-10,1990.0,2030.0,1930.0,1930.0,47741600
2024-12-11,1985.0,2030.0,1970.0,2000.0,22745400
2024-12-12,1945.0,1985.0,1930.0,1985.0,20362700
2024-12-13,1925.0,1980.0,1925.0,1945.0,32128000
2024-12-16,1900.0,1955.0,1900.0,1925.0,15714700
2024-12-17,1840.0,1920.0,1825.0,1900.0,25578900
2024-12-18,1760.0,1870.0,1760.0,1845.0,22409900
2024-12-19,1615.0,1700.0,1550.0,1700.0,83025800
2024-12-20,1595.0,1640.0,1565.0,1600.0,114622700
2024-12-23,1630.0,1675.0,1585.0,1610.0,34367200
2024-12-24,1580.0,1650.0,1580.0,1630.0,25105600
2024-12-27,1570.0,1620.0,1570.0,1595.0,22100600
2024-12-30,1615.0,1700.0,1580.0,1580.0,57612000
2025-01-02,1595.0,1650.0,1580.0,1645.0,29809400
2025-01-03,1600.0,1615.0,1585.0,1595.0,39686300
2025-01-06,1550.0,1610.0,1510.0,1600.0,56990600
2025-01-07,1510.0,1565.0,1510.0,1550.0,31914800
2025-01-08,1360.0,1525.0,1360.0,1520.0,146043100
2025-01-09,1340.0,1400.0,1330.0,1370.0,110433500
2025-01-10,1410.0,1425.0,1350.0,1350.0,63976000
2025-01-13,1475.0,1485.0,1400.0,1420.0,61730500
2025-01-14,1635.0,1685.0,1455.0,1500.0,120800000
2025-01-15,1610.0,1650.0,1600.0,1635.0,34108700
2025-01-16,1600.0,1640.0,1575.0,1615.0,37496700
2025-01-17,1610.0,1640.0,1585.0,1615.0,43288900
2025-01-20,1700.0,1710.0,1620.0,1625.0,44504100
2025-01-21,1650.0,1730.0,1635.0,1705.0,45378800
2025-01-22,1650.0,1675.0,1575.0,1660.0,60607400
2025-01-23,1605.0,1645.0,1575.0,1645.0,45526800
2025-01-24,1600.0,1610.0,1585.0,1600.0,18350000
2025-01-30,1580.0,1600.0,1505.0,1600.0,37573300
2025-01-31,1565.0,1590.0,1550.0,1580.0,30700300
2025-02-03,1450.0,1570.0,1440.0,1565.0,49059200
2025-02-04,1500.0,1515.0,1465.0,1465.0,30581500
2025-02-05,1475.0,1540.0,1475.0,1510.0,23329900
2025-02-06,1430.0,1500.0,1415.0,1485.0,17424300
