Date,Close,High,Low,Open,Volume
2024-11-14,470.0,492.0,468.0,488.0,186451400
2024-11-15,444.0,474.0,440.0,470.0,190168500
2024-11-18,448.0,458.0,444.0,446.0,90961500
2024-11-19,464.0,466.0,450.0,450.0,43949500
2024-11-20,452.0,468.0,452.0,464.0,35506800
2024-11-21,450.0,460.0,448.0,452.0,32454100
2024-11-22,438.0,456.0,436.0,452.0,36451600
2024-11-25,422.0,440.0,414.0,438.0,99422500
2024-11-26,424.0,432.0,418.0,424.0,33285100
2024-11-28,418.0,428.0,414.0,424.0,25284300
2024-11-29,430.0,434.0,412.0,412.0,31752500
2024-12-02,446.0,448.0,430.0,430.0,69679100
2024-12-03,464.0,468.0,442.0,448.0,89240200
2024-12-04,458.0,470.0,456.0,466.0,57822700
2024-12-05,452.0,462.0,448.0,456.0,17318100
2024-12-06,448.0,456.0,444.0,456.0,15994400
2024-12-09,448.0,456.0,446.0,450.0,32905300
2024-12-10,478.0,505.0,450.0,454.0,389501700
2024-12-11,480.0,494.0,478.0,484.0,102407900
2024-12-12,460.0,484.0,456.0,482.0,87531400
2024-12-13,452.0,470.0,450.0,460.0,56398400
2024-12-16,444.0,458.0,440.0,456.0,38608800
2024-12-17,432.0,448.0,432.0,444.0,49378600
2024-12-18,428.0,440.0,422.0,432.0,37693100
2024-12-19,418.0,426.0,414.0,424.0,45274700
2024-12-20,420.0,424.0,410.0,418.0,22800800
2024-12-23,420.0,430.0,418.0,422.0,30052700
2024-12-24,418.0,426.0,416.0,422.0,33921100
2024-12-27,440.0,446.0,418.0,418.0,45273600
2024-12-30,430.0,446.0,430.0,440.0,30748100
2025-01-02,436.0,446.0,430.0,438.0,26213000
2025-01-03,436.0,444.0,432.0,434.0,23330600
2025-01-06,428.0,442.0,426.0,438.0,18038300
2025-01-07,422.0,436.0,420.0,428.0,32826800
2025-01-08,420.0,428.0,416.0,420.0,26119900
2025-01-09,420.0,430.0,418.0,420.0,28293200
2025-01-10,418.0,424.0,416.0,420.0,15430400
2025-01-13,418.0,438.0,416.0,418.0,73256600
2025-01-14,422.0,426.0,418.0,420.0,18857500
2025-01-15,424.0,430.0,420.0,422.0,41929200
2025-01-16,418.0,430.0,416.0,426.0,39615300
2025-01-17,420.0,426.0,416.0,418.0,27735700
2025-01-20,450.0,458.0,418.0,422.0,174412500
2025-01-21,430.0,456.0,430.0,454.0,105356100
2025-01-22,436.0,450.0,428.0,432.0,85265700
2025-01-23,432.0,442.0,432.0,440.0,15703200
2025-01-24,422.0,438.0,422.0,434.0,50883900
2025-01-30,420.0,422.0,416.0,422.0,34312500
2025-01-31,422.0,428.0,420.0,420.0,22634100
2025-02-03,414.0,420.0,406.0,420.0,53591200
2025-02-04,410.0,420.0,408.0,414.0,37248700
2025-02-05,412.0,420.0,408.0,410.0,45320500
2025-02-06,394.0,418.0,392.0,412.0,69886900
2025-02-07,404.0,408.0,384.0,396.0,42674100
2025-02-10,394.0,412.0,382.0,404.0,57811100
2025-02-11,382.0,400.0,380.0,392.0,47681200
2025-02-12,382.0,390.0,370.0,382.0,43789200
2025-02-13,370.0,384.0,368.0,382.0,42349500
2025-02-14,372.0,378.0,370.0,372.0,22500600
2025-02-17,382.0,388.0,374.0,374.0,24770700
2025-02-18,380.0,392.0,378.0,384.0,50498700
2025-02-19,376.0,384.0,372.0,382.0,31633500
2025-02-20,368.0,378.0,364.0,378.0,57274700
2025-02-21,364.0,368.0,358.0,368.0,30280400
2025-02-24,352.0,366.0,348.0,364.0,68717700
2025-02-25,342.0,358.0,338.0,354.0,40892500
2025-02-26,338.0,350.0,336.0,344.0,36517400
2025-02-27,326.0,342.0,326.0,338.0,46881100
2025-02-28,310.0,326.0,310.0,326.0,60605000
2025-03-03,324.0,340.0,310.0,310.0,71425600
2025-03-04,318.0,328.0,312.0,322.0,40800000
2025-03-05,324.0,332.0,316.0,318.0,30138900
2025-03-06,330.0,332.0,324.0,324.0,41416300
2025-03-07,328.0,332.0,322.0,330.0,24656000
2025-03-10,342.0,344.0,324.0,328.0,82310100
2025-03-11,324.0,336.0,320.0,334.0,61186900
2025-03-12,328.0,340.0,324.0,326.0,28720300
2025-03-13,320.0,330.0,318.0,330.0,18673800
2025-03-14,318.0,322.0,314.0,320.0,11949200
2025-03-17,322.0,324.0,314.0,320.0,17357900
2025-03-18,302.0,322.0,290.0,322.0,57200600
2025-03-19,306.0,308.0,298.0,306.0,11766500
2025-03-20,306.0,316.0,302.0,308.0,17205300
2025-03-21,300.0,306.0,294.0,306.0,18864700
2025-03-24,290.0,304.0,284.0,300.0,28754700
2025-03-25,326.0,328.0,290.0,290.0,51383600
2025-03-26,364.0,368.0,322.0,330.0,146950000
2025-03-27,368.0,386.0,364.0,370.0,180965900
2025-04-08,330.0,346.0,314.0,330.0,46777100
2025-04-09,312.0,338.0,308.0,330.0,68393900
2025-04-10,322.0,342.0,322.0,338.0,120554700
2025-04-11,336.0,346.0,320.0,324.0,34345400
2025-04-14,352.0,364.0,340.0,342.0,69974800
2025-04-15,338.0,362.0,334.0,360.0,76815000
2025-04-16,328.0,340.0,326.0,336.0,42774100
2025-04-17,374.0,382.0,326.0,328.0,255965900
2025-04-21,394.0,436.0,376.0,382.0,625382200
2025-04-22,408.0,414.0,384.0,394.0,245860000
2025-04-23,404.0,422.0,400.0,414.0,136960500
2025-04-24,390.0,410.0,390.0,410.0,106211900
2025-04-25,384.0,398.0,384.0,394.0,107269900
2025-04-28,390.0,402.0,384.0,384.0,139402800
2025-04-29,384.0,396.0,384.0,392.0,116893400
2025-04-30,386.0,400.0,376.0,386.0,205471400
2025-05-02,378.0,394.0,376.0,392.0,78098200
2025-05-05,378.0,388.0,372.0,378.0,92773600
2025-05-06,378.0,388.0,376.0,378.0,90447500
2025-05-07,378.0,394.0,376.0,380.0,199790200
2025-05-08,360.0,384.0,356.0,378.0,217467800
2025-05-09,308.0,360.0,308.0,360.0,833293300
2025-05-14,296.0,318.0,294.0,310.0,934265600
2025-05-15,290.0,308.0,290.0,296.0,683993700
2025-05-16,302.0,310.0,284.0,292.0,718375300
2025-05-19,308.0,318.0,298.0,306.0,485933400
2025-05-20,294.0,312.0,294.0,308.0,391216100
2025-05-21,298.0,300.0,292.0,298.0,160741200
2025-05-22,296.0,302.0,294.0,302.0,111856000
2025-05-23,302.0,308.0,302.0,304.0,144853900
2025-05-26,292.0,304.0,290.0,302.0,406950600
2025-05-27,296.0,300.0,292.0,294.0,175416500
2025-05-28,294.0,298.0,292.0,298.0,94273300
2025-06-02,286.0,296.0,286.0,294.0,168920300
2025-06-03,272.0,288.0,270.0,286.0,718589400
2025-06-04,280.0,288.0,272.0,272.0,268752400
2025-06-05,280.0,288.0,278.0,284.0,136773300
2025-06-10,286.0,288.0,276.0,278.0,158155400
2025-06-11,280.0,286.0,276.0,286.0,209818100
2025-06-12,284.0,294.0,278.0,280.0,249785900
2025-06-13,286.0,290.0,280.0,284.0,214992000
2025-06-16,284.0,292.0,282.0,286.0,186092800
2025-06-17,284.0,290.0,284.0,286.0,73230700
2025-06-18,282.0,288.0,280.0,286.0,126767100
2025-06-19,274.0,284.0,272.0,282.0,182557500
2025-06-20,268.0,276.0,266.0,274.0,282887800
2025-06-23,258.0,266.0,256.0,266.0,116098700
2025-06-24,268.0,274.0,262.0,262.0,95408900
2025-06-25,264.0,274.0,262.0,274.0,68584000
2025-06-26,258.0,280.0,252.0,268.0,434217600
2025-06-30,260.0,264.0,256.0,262.0,148226000
2025-07-01,254.0,262.0,254.0,260.0,86941300
2025-07-02,254.0,260.0,254.0,256.0,97906400
2025-07-03,254.0,258.0,252.0,254.0,69636800
2025-07-04,254.0,260.0,252.0,254.0,69249400
2025-07-07,252.0,254.0,250.0,252.0,105557700
2025-07-08,252.0,260.0,252.0,252.0,103896000
2025-07-09,252.0,254.0,250.0,252.0,73624100
2025-07-10,264.0,264.0,252.0,254.0,141582400
2025-07-11,260.0,266.0,260.0,266.0,90519200
2025-07-14,256.0,262.0,254.0,262.0,69280400
2025-07-15,258.0,258.0,254.0,256.0,39867400
2025-07-16,256.0,260.0,256.0,258.0,57108000
2025-07-17,256.0,260.0,252.0,258.0,59319000
2025-07-18,252.0,258.0,252.0,256.0,71403600
2025-07-21,264.0,270.0,252.0,252.0,300400400
2025-07-22,258.0,266.0,258.0,264.0,76410200
2025-07-23,266.0,272.0,258.0,260.0,191107000
2025-07-24,266.0,272.0,266.0,268.0,97338000
2025-07-25,260.0,266.0,258.0,266.0,80254400
2025-07-28,262.0,266.0,260.0,260.0,48838200
2025-07-29,260.0,266.0,258.0,262.0,59554600
2025-07-30,260.0,262.0,256.0,260.0,56650600
2025-07-31,254.0,262.0,254.0,258.0,89102000
2025-08-01,258.0,260.0,254.0,254.0,42202500
2025-08-04,258.0,262.0,252.0,256.0,95023000
2025-08-05,260.0,264.0,254.0,256.0,78370900
2025-08-06,260.0,262.0,256.0,260.0,56642100
2025-08-07,254.0,262.0,254.0,260.0,94193000
2025-08-08,250.0,254.0,248.0,250.0,181645100
2025-08-11,252.0,254.0,250.0,252.0,53130300
2025-08-12,266.0,268.0,254.0,254.0,250330300
2025-08-13,262.0,270.0,258.0,268.0,119991500
